AX,AY,AZ,Activity
0.25,-0.77,0.11,Walking
0.14,-0.87,-0.29,Walking
0.08,-0.94,-0.14,Walking
0.38,-1.14,0.01,Walking
0.26,-1.28,-0.3,Walking
,-1.25,-0.05,Walking
-0.05,-1.37,0.1,Walking
0.19,-0.63,-0.07,Walking
0.01,-0.64,0.03,Walking
-0.12,-0.65,-0.25,Walking
-0.05,-0.76,-0.42,Walking
-0.18,-1.15,-1.11,Walking
0.03,-1.58,-0.03,Walking
-0.06,-0.63,0.06,Walking
0.34,-1.25,-0.15,Walking
-0.14,-0.68,-0.15,Walking
0.34,-0.83,-0.05,Walking
0.02,-0.84,-0.18,Walking
0.26,-1.06,-0.15,Walking
0.19,-1.13,-0.21,Walking
0.04,-1.24,-0.17,Walking
-0.18,-1.38,-0.02,Walking
-0.03,-0.98,0.21,Walking
0.07,-0.55,-0.19,Walking
-0.26,-0.51,,Walking
-0.07,-1.24,-0.7,Walking
0.35,-1.22,-0.06,Walking
-0.36,-0.99,-0.06,Walking
0.12,-1.03,0.19,Walking
0.12,-1.03,0.19,Walking
0.05,-1.0,0.08,Walking
0.14,-0.98,-0.08,Walking
0.06,-0.98,-0.03,Walking
0.19,-0.95,-0.21,Walking
0.11,-0.93,-0.22,Walking
-0.15,-1.07,-0.04,Walking
-0.24,-1.03,-0.24,Walking
-0.28,-0.81,-0.22,Walking
0.18,-0.91,-0.31,Walking
-0.16,-0.91,-0.38,Walking
-0.19,-0.96,-0.37,Walking
-0.2,-0.87,-0.32,Walking
-0.1,-0.82,-0.35,Walking
-0.03,-0.8,-0.48,Walking
-0.03,-0.8,-0.48,Walking
-0.06,-0.83,-0.61,Walking
-0.4,-1.1,-0.63,Walking
-0.27,-0.72,-0.43,Walking
-0.26,-1.04,-0.01,Walking
0.19,-1.07,-0.1,Walking
0.04,-0.9,-0.15,Walking
-0.05,-0.79,-0.12,Walking
0.1,-0.96,-0.22,Walking
0.03,-0.87,-0.04,Walking
0.06,-1.05,-0.14,Walking
0.16,-1.27,-0.18,Walking
0.23,-1.19,-0.17,Walking
-0.24,-1.23,-0.04,Walking
-0.2,-1.3,0.25,Walking
0.23,-0.76,-0.24,Walking
-0.14,-0.43,0.07,Walking
-0.06,-0.55,-0.18,Walking
-0.07,-0.94,-0.77,Walking
-0.27,-1.2,-0.95,Walking
-0.18,-1.28,0.1,Walking
0.06,-0.95,0.17,Walking
0.06,-1.05,-0.23,Walking
-0.25,-0.63,,Walking
0.31,-0.95,-0.15,Walking
0.01,-0.86,-0.2,Walking
0.12,-1.04,-0.14,Walking
0.12,-1.25,-0.18,Walking
0.05,-1.2,-0.13,Walking
-0.43,-1.42,-0.17,Walking
0.1,-0.99,0.26,Walking
0.13,-0.66,-0.12,Walking
-0.28,-0.55,0.06,Walking
-0.06,-0.61,-0.35,Walking
-0.08,-1.34,-0.98,Walking
-0.37,-1.01,-0.45,Walking
-0.07,-0.92,0.05,Walking
0.25,-1.26,0.05,Walking
-0.3,-0.99,-0.22,Walking
0.07,-0.79,-0.07,Walking
0.09,-0.92,-0.2,Walking
0.02,-0.77,-0.18,Walking
0.02,-1.1,-0.13,Walking
0.01,-1.07,-0.27,Walking
0.08,-1.21,-0.18,Walking
-0.37,-1.11,0.13,Walking
-0.11,-0.95,-0.08,Walking
-0.09,-0.78,-0.2,Walking
-0.12,-0.8,-0.26,Walking
-0.08,-0.98,-0.26,Walking
0.06,-0.8,-0.33,Falling Forwards
0.21,-0.93,-0.14,Falling Forwards
0.08,-1.12,-0.4,Falling Forwards
0.52,-1.33,-0.15,Falling Forwards
-0.16,-1.5,-0.26,Falling Forwards
-0.23,-0.41,0.07,Falling Forwards
0.14,0.09,-0.09,Falling Forwards
0.15,-0.74,-0.11,Falling Forwards
0.01,-1.01,-0.41,Falling Forwards
-0.48,-0.62,-0.28,Falling Forwards
-0.26,-0.71,-0.01,Falling Forwards
-0.28,-1.13,0.65,Falling Forwards
-0.1,-0.76,-0.48,Falling Forwards
-0.96,-3.26,-0.56,Falling Forwards
0.16,-0.68,-0.97,Falling Forwards
0.04,-0.05,-0.23,Falling Forwards
-0.21,-0.43,-0.09,Falling Forwards
-0.04,-0.21,0.35,Falling Forwards
-0.95,0.05,1.61,Falling Forwards
-1.1,0.17,1.8,Falling Forwards
0.16,-0.71,1.41,Falling Forwards
-0.27,0.49,0.67,Falling Forwards
-0.26,0.06,1.03,Falling Forwards
0.02,-0.03,1.07,Falling Forwards
-0.04,-0.07,0.95,Falling Forwards
0.02,-0.05,1.0,Falling Forwards
0.03,-0.04,1.02,Falling Forwards
0.03,-0.04,1.0,Falling Forwards
0.03,-0.04,1.01,Falling Forwards
0.03,-0.03,1.0,Falling Forwards
0.31,-0.97,-0.12,Falling Forwards
-0.04,-0.81,-0.09,Falling Forwards
0.06,-1.04,-0.21,Falling Forwards
0.08,-1.1,-0.14,Falling Forwards
-0.23,-1.22,-0.31,Falling Forwards
,-1.43,-0.45,Falling Forwards
-0.07,-0.66,-0.11,Falling Forwards
-0.12,-0.3,-0.01,Falling Forwards
0.3,-0.53,0.04,Falling Forwards
,-0.48,-0.27,Falling Forwards
-0.36,-0.8,0.15,Falling Forwards
-0.77,-1.01,-0.17,Falling Forwards
-0.27,-0.47,0.7,Falling Forwards
-0.89,-2.82,-0.79,Falling Forwards
0.37,-1.52,-0.17,Falling Forwards
-0.15,-0.55,-1.16,Falling Forwards
-0.45,-0.58,-0.45,Falling Forwards
-0.06,-0.03,0.05,Falling Forwards
-0.1,-0.24,0.21,Falling Forwards
-0.43,-0.07,0.97,Falling Forwards
-1.24,0.02,1.76,Falling Forwards
0.1,-0.25,1.51,Falling Forwards
-0.02,-0.07,0.94,Falling Forwards
-0.64,-0.01,0.8,Falling Forwards
0.03,-0.09,1.07,Falling Forwards
-0.06,-0.8,-0.18,Falling Forwards
0.06,-0.91,-0.17,Falling Forwards
-0.54,-0.92,0.24,Falling Forwards
-0.33,-0.78,0.45,Falling Forwards
-1.08,-3.6,0.5,Falling Forwards
0.83,-0.38,-1.9,Falling Forwards
0.26,-0.31,-1.31,Falling Forwards
-0.71,-0.65,,Falling Forwards
,-0.24,0.45,Falling Forwards
0.06,-0.23,,Falling Forwards
0.11,-0.53,0.3,Falling Forwards
-1.78,-0.09,2.95,Falling Forwards
-0.32,0.21,0.88,Falling Forwards
-0.01,-0.13,1.15,Falling Forwards
-0.43,0.09,0.74,Falling Forwards
-0.06,-0.06,1.09,Falling Forwards
-0.06,-0.04,1.0,Falling Forwards
-0.1,-0.04,0.96,Falling Forwards
0.32,-1.32,-0.12,Falling Backwards
-0.23,-0.81,-0.77,Falling Backwards
0.85,-0.89,-0.56,Falling Backwards
0.01,-0.78,-0.48,Falling Backwards
0.08,-0.42,0.17,Falling Backwards
-0.26,-0.37,0.22,Falling Backwards
-0.14,-0.45,0.43,Falling Backwards
0.36,-0.76,-0.82,Falling Backwards
-0.29,-0.61,-1.12,Falling Backwards
0.49,0.13,-1.22,Falling Backwards
0.37,0.63,-1.21,Falling Backwards
0.14,0.89,-1.51,Falling Backwards
0.45,0.87,-1.52,Falling Backwards
0.46,1.28,-0.19,Falling Backwards
-0.15,1.19,-0.23,Falling Backwards
0.17,0.97,0.25,Falling Backwards
0.43,0.58,-0.7,Falling Backwards
0.23,0.66,0.25,Falling Backwards
0.49,1.56,-0.35,Falling Backwards
0.15,0.82,0.04,Falling Backwards
0.62,0.95,0.06,Falling Backwards
0.14,0.91,-0.42,Falling Backwards
0.24,0.88,-0.01,Falling Backwards
0.48,0.64,-0.52,Falling Backwards
0.29,0.55,-0.45,Falling Backwards
0.28,0.31,-1.19,Falling Backwards
0.24,-0.14,-0.74,Falling Backwards
0.15,0.43,-1.23,Falling Backwards
0.42,-0.33,-1.59,Falling Backwards
-0.08,-0.21,-0.85,Falling Backwards
0.53,0.25,-0.33,Falling Backwards
0.31,-0.06,-1.38,Falling Backwards
0.51,-0.03,-1.08,Falling Backwards
0.24,0.08,-0.95,Falling Backwards
